control_prob,control_burstiness,correct_assesment,test_prob,test_burstiness,correct_assesment2,test_with_treatment_avg_prob,t_and_t_burstiness,correct_assesment3
0,42.3509,1,0.9482,6.4744,1,0,169.122,1
0,161.8729,1,0.9603,10.8191,1,0,173.0853,1
0,2071.97,1,1,8.3728,1,0,180.2433,1
0,177.7398,1,0.9583,9.7573,1,0,268.8227,1
0.9411,17.4278,0,0.9562,9.3059,1,0,160.1656,1
0,7764.332,1,0.9482,8.5089,1,0,481.4505,1
0,493.44,1,0.9512,11.493,1,0,203.9524,1
0,24.5177,1,0.9512,9.3541,1,0,122.4264,1
0,90.3826,1,0.9482,8.3728,1,0,196.893,1
0,54.1663,1,0.9583,8.5089,1,0,139.9889,1
0.9261,14.6589,0,0.9583,8.3728,1,0,123.2743,1
0.667,24.2844,0,0.9562,12.8487,1,0,97.6248,1
0,157.7544,1,1,5.5908,1,0,223.6826,1
0,43.4649,1,0.9562,8.4604,1,0,139.2204,1
0,70.9846,1,0.9423,7.3445,1,0,125.4096,1
0,46.8547,1,0.9432,6.917,1,0,112.7628,1
