sentances,tag
"		
Using equipment that a high school student could only dream of using, I was able to map apoptosis (programmed cell death) versus necrosis (cell death due to damage) in HeLa cells, a cervical cancer line, after treating them with curcumin-bound nanoparticles",Organic
" I became interested in the intersection of science and public policy, and I saw the potential for innovative scientific research to address some of the most pressing challenges facing society today",ChatGPT
" I found myself enjoying all of those activities but soon enough, I was swamped with extracurriculars",Organic
" I’ll admit, part of me still seeks to close my eyes, to hide in the safety I’ll find in silence",Organic
" I believe that my passion for innovation, my commitment to academic excellence and intellectual curiosity, and my dedication to making a positive impact in the world make me a strong candidate for admission to MIT",ChatGPT
" My high school wasn’t diverse by any standards",Organic
"”
Suddenly, everything fell into place for me",Organic
"
In conclusion, I am honored to even be considering the possibility of attending Harvard University",ChatGPT
"
Beyond my academic pursuits, I have also been actively involved in my community, volunteering with local organizations to promote literacy and education",ChatGPT
"As a high school student, I have always been passionate about making a difference in the world",ChatGPT
" It is filled with the uncensored versions of my beliefs and the beliefs of others",Organic
" It is a profession founded solely on skill and technique–or so I thought",Organic
" As I have grown older, my passion for these topics has only deepened, and I have sought out opportunities to pursue them both in and out of the classroom",ChatGPT
" But I knew something was wrong",Organic
" foreign policy, and in understanding how historical decisions continue to shape our current global landscape",ChatGPT
" As a student of the University of California, I will contribute my understanding of the human condition and student motivation to help strengthen student relationships within the campus and throughout the community",Organic
" I believe that studying at Harvard will provide me with the intellectual and academic resources I need to make a meaningful contribution to the field of education and social justice",ChatGPT
" The cards rhythmically slapped down onto the table as my grandmother, small yet stoic, effortlessly moved the cards with frail hands",Organic
" Later my brother told me that wasn’t the point",Organic
" As I grew older, I became increasingly interested in the intersection of science and technology, and I saw the potential for innovation to address some of the most pressing challenges facing society today",ChatGPT
"  A miniature Flamenco dancer stares back at me from the confines of the 3-D rectangular magnet, half popping out as if willing herself to come to life",Organic
" You might say that my upbringing was characterized by my parents morphing everyday objects into weapons and me trying to morph into the perfect white walls that stood unmoving while my family fell apart",Organic
"
Throughout my academic career, I have pursued this passion through a variety of extracurricular activities and research projects",ChatGPT
"
Never before had I seen anything this gruesome–as even open surgery paled in comparison",Organic
" 
I asked my mom: “What would you do if I had a girlfriend?” She instantly replied that she couldn’t understand",Organic
" She spoke to me with a vulnerability I had never heard before",Organic
"

As a curious and ambitious student, I have always been drawn to institutions that prioritize both academic rigor and real-world impact",ChatGPT
" Luckily, my family managed to drive me several hours away to an urban hospital, where I was treated",Organic
" This reframe changed my life, and when I came back to the library with my new schedule in hand, the most advanced courses my school had to offer, the librarian said, “You’re going to make a great lawyer",Organic
" I not only want to help those who are ill and injured, but also to be entrusted with difficult decisions the occupation entails",Organic
" It made me, and the people around me, vulnerable, which was frightening",Organic
" I was just procrastinating, it’s natural",Organic
" I was curious about how things worked, and I loved learning new things",ChatGPT
" Now, as I consider the possibility of attending the Massachusetts Institute of Technology, I am excited about the opportunity to further pursue my passion for innovation and problem-solving",ChatGPT
" I am also drawn to the interdisciplinary nature of MIT, where I hope to explore connections between fields such as computer science, engineering, and biotechnology",ChatGPT
" Under the mentorship of Professor Wendy Bozeman and Professor Georgia Lebedev from the department of Biological Sciences, my goal this summer was to research the effects of cobalt iron oxide cored (CoFe2O3) titanium dioxide (TiO2) nanoparticles as a scaffold for drug delivery, specifically in the delivery of a compound known as curcumin, a flavonoid known for its anti-inflammatory effects",Organic
"
I take out the next magnet from my plastic bag",Organic
" Gesturing vaguely to my two o’clock, I informed my flying instructor, “There’s a plane to the right",Organic
" When I got an F on a chemistry pop quiz my mom sat me down to ask me what was happening",Organic
"
At Harvard, I hope to continue exploring this intersection of media, storytelling, and social change",ChatGPT
"” Life is meant to be challenging, and really living requires consistent work and review",Organic
" Q was struggling to do himself",Organic
" 
Last year, I joined the American Cancer Society‘s Relay for Life, a twenty-four-hour relay walk-a-thon designed to raise funds for cancer research and create awareness about its early detection",Organic
" Whether I was 36,000 feet in the air or on ground level, by flying and writing, I realized that the most interesting stories of life come straight from the people most different from me",Organic
" Dr",Organic
" My right was that pilot’s left",Organic
" Her mind stayed strong and proud",Organic
" If there were no more moves to make, I would always sneak a card from below a column without my grandma seeing",Organic
" I believe that studying at Harvard will provide me with the intellectual and academic resources I need to make a meaningful contribution to this field",ChatGPT
" I am also interested in the Cornell Atkinson Center for Sustainability, where I hope to collaborate with other like-minded individuals to develop innovative solutions to environmental challenges",ChatGPT
" My analysis resulted in a database of information that physicians can use to prescribe treatments for their patients’ unique cancerous mutations",Organic
" I am excited about the opportunity to engage with students and faculty from diverse backgrounds and perspectives, and to work together to tackle some of the world's most pressing challenges",ChatGPT
" “Solitaire isn’t just a game for one person",Organic
